Index,Model,Percentile,Region,Scenario,TimeAggregate,Year
1,1,90,11,1,1,2003
1,1,90,11,1,1,2005
1,1,90,11,1,1,2006
1,1,90,11,1,1,2013
1,1,90,11,1,1,2016
1,1,90,11,1,1,2018
1,1,90,11,1,1,2021
1,1,90,11,1,1,2026
1,1,90,11,1,1,2028
1,1,90,11,1,1,2031
1,1,90,11,1,1,2034
1,1,90,11,1,1,2039
1,1,90,11,1,1,2043
1,1,90,11,1,1,2044
1,1,90,11,1,1,2045
1,1,90,11,1,1,2049
1,1,90,11,1,1,2051
1,1,90,11,1,1,2052
1,1,90,11,1,1,2054
1,1,90,11,1,1,2056
1,1,90,11,1,1,2057
1,1,90,11,1,1,2059
1,1,90,11,1,1,2060
1,1,90,11,1,1,2061
1,1,90,11,1,1,2062
1,1,90,11,1,1,2064
1,1,90,11,1,1,2065
1,1,90,11,1,1,2069
1,1,90,11,1,1,2070
1,1,90,11,1,1,2071
1,1,90,11,1,1,2073
1,1,90,11,1,1,2074
1,1,90,11,1,1,2076
1,1,90,11,1,1,2077
1,1,90,11,1,1,2078
1,1,90,11,1,1,2079
1,1,90,11,1,1,2080
1,1,90,11,1,1,2081
1,1,90,11,1,1,2082
1,1,90,11,1,1,2083
1,1,90,11,1,1,2084
1,1,90,11,1,1,2085
1,1,90,11,1,1,2086
1,1,90,11,1,1,2087
1,1,90,11,1,1,2089
1,1,90,11,1,1,2090
1,1,90,11,1,1,2091
1,1,90,11,1,1,2092
1,1,90,11,1,1,2093
1,1,90,11,1,1,2094
1,1,90,11,1,1,2095
1,1,90,11,1,1,2096
1,1,90,11,1,1,2097
1,1,90,11,1,1,2098
1,1,90,11,1,1,2099
1,1,90,11,1,1,2100
1,1,10,11,1,1,1974
1,1,10,11,1,1,1981
1,1,10,11,1,1,2009
1,1,10,11,1,1,2023
1,1,10,11,1,1,2025
1,1,10,11,1,1,2029
1,1,90,13,1,1,1980
1,1,90,13,1,1,1992
1,1,90,13,1,1,1994
1,1,90,13,1,1,2003
1,1,90,13,1,1,2005
1,1,90,13,1,1,2006
1,1,90,13,1,1,2013
1,1,90,13,1,1,2015
1,1,90,13,1,1,2018
1,1,90,13,1,1,2020
1,1,90,13,1,1,2026
1,1,90,13,1,1,2031
1,1,90,13,1,1,2034
1,1,90,13,1,1,2037
1,1,90,13,1,1,2038
1,1,90,13,1,1,2039
1,1,90,13,1,1,2044
1,1,90,13,1,1,2045
1,1,90,13,1,1,2051
1,1,90,13,1,1,2052
1,1,90,13,1,1,2054
1,1,90,13,1,1,2057
1,1,90,13,1,1,2059
1,1,90,13,1,1,2060
1,1,90,13,1,1,2061
1,1,90,13,1,1,2062
1,1,90,13,1,1,2064
1,1,90,13,1,1,2065
1,1,90,13,1,1,2067
1,1,90,13,1,1,2070
1,1,90,13,1,1,2073
1,1,90,13,1,1,2074
1,1,90,13,1,1,2076
1,1,90,13,1,1,2077
1,1,90,13,1,1,2078
1,1,90,13,1,1,2079
1,1,90,13,1,1,2081
1,1,90,13,1,1,2082
1,1,90,13,1,1,2083
1,1,90,13,1,1,2084
1,1,90,13,1,1,2085
1,1,90,13,1,1,2086
1,1,90,13,1,1,2087
1,1,90,13,1,1,2089
1,1,90,13,1,1,2090
1,1,90,13,1,1,2091
1,1,90,13,1,1,2092
1,1,90,13,1,1,2093
1,1,90,13,1,1,2094
1,1,90,13,1,1,2095
1,1,90,13,1,1,2096
1,1,90,13,1,1,2097
1,1,90,13,1,1,2098
1,1,90,13,1,1,2099
1,1,90,13,1,1,2100
1,1,10,13,1,1,1974
1,1,10,13,1,1,1981
1,1,10,13,1,1,2009
1,1,10,13,1,1,2025
1,1,10,13,1,1,2063
1,1,90,15,1,1,1992
1,1,90,15,1,1,2003
1,1,90,15,1,1,2005
1,1,90,15,1,1,2013
1,1,90,15,1,1,2015
1,1,90,15,1,1,2018
1,1,90,15,1,1,2026
1,1,90,15,1,1,2028
1,1,90,15,1,1,2031
1,1,90,15,1,1,2034
1,1,90,15,1,1,2038
1,1,90,15,1,1,2039
1,1,90,15,1,1,2044
1,1,90,15,1,1,2045
1,1,90,15,1,1,2049
1,1,90,15,1,1,2051
1,1,90,15,1,1,2054
1,1,90,15,1,1,2057
1,1,90,15,1,1,2059
1,1,90,15,1,1,2060
1,1,90,15,1,1,2061
1,1,90,15,1,1,2062
1,1,90,15,1,1,2065
1,1,90,15,1,1,2070
1,1,90,15,1,1,2073
1,1,90,15,1,1,2074
1,1,90,15,1,1,2076
1,1,90,15,1,1,2077
1,1,90,15,1,1,2078
1,1,90,15,1,1,2079
1,1,90,15,1,1,2081
1,1,90,15,1,1,2082
1,1,90,15,1,1,2083
1,1,90,15,1,1,2084
1,1,90,15,1,1,2085
1,1,90,15,1,1,2086
1,1,90,15,1,1,2087
1,1,90,15,1,1,2089
1,1,90,15,1,1,2090
1,1,90,15,1,1,2091
1,1,90,15,1,1,2092
1,1,90,15,1,1,2093
1,1,90,15,1,1,2094
1,1,90,15,1,1,2095
1,1,90,15,1,1,2096
1,1,90,15,1,1,2097
1,1,90,15,1,1,2098
1,1,90,15,1,1,2099
1,1,90,15,1,1,2100
1,1,10,15,1,1,1974
1,1,10,15,1,1,1981
1,1,10,15,1,1,1998
1,1,10,15,1,1,2009
1,1,10,15,1,1,2058
1,1,10,15,1,1,2063
1,1,90,14,1,1,1980
1,1,90,14,1,1,1992
1,1,90,14,1,1,2003
1,1,90,14,1,1,2005
1,1,90,14,1,1,2006
1,1,90,14,1,1,2013
1,1,90,14,1,1,2015
1,1,90,14,1,1,2016
1,1,90,14,1,1,2018
1,1,90,14,1,1,2026
1,1,90,14,1,1,2028
1,1,90,14,1,1,2031
1,1,90,14,1,1,2034
1,1,90,14,1,1,2037
1,1,90,14,1,1,2038
1,1,90,14,1,1,2039
1,1,90,14,1,1,2044
1,1,90,14,1,1,2045
1,1,90,14,1,1,2049
1,1,90,14,1,1,2051
1,1,90,14,1,1,2052
1,1,90,14,1,1,2054
1,1,90,14,1,1,2057
1,1,90,14,1,1,2059
1,1,90,14,1,1,2060
1,1,90,14,1,1,2061
1,1,90,14,1,1,2062
1,1,90,14,1,1,2065
1,1,90,14,1,1,2067
1,1,90,14,1,1,2070
1,1,90,14,1,1,2073
1,1,90,14,1,1,2074
1,1,90,14,1,1,2076
1,1,90,14,1,1,2077
1,1,90,14,1,1,2078
1,1,90,14,1,1,2079
