Index,Model,Region,Scenario,Sigma,Value,Year
GD4,OBS Safran,Normandie,rcp45,1,2253.36499023,1974
GD4,OBS Safran,Normandie,rcp45,1,1072.18530273,1988
GD4,OBS Safran,Normandie,rcp45,1,516.310302734,1990
GD4,OBS Safran,Normandie,rcp45,1,2195.49780273,1994
GD4,OBS Safran,Normandie,rcp45,1,1635.86499023,2000
GD4,OBS Safran,Normandie,rcp45,1,3442.06030273,2002
GD4,OBS Safran,Normandie,rcp45,1,940.224365234,2007
GD4,OBS Safran,Normandie,rcp45,1,2409.20092773,2011
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,3441.32592773,1973
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,2680.72436523,1974
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,1287.38842773,1975
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,495.333740234,1988
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,812.755615234,1991
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,2715.13061523,1993
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,3161.89624023,2000
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,581.763427734,2004
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,1095.22436523,2006
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,266.864990234,2010
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,1236.47436523,2011
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,1821.31030273,2012
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,3810.52905273,2017
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,324.130615234,2019
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,2101.92749023,2020
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,1404.85717773,2021
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,788.388427734,2022
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,3088.02905273,2028
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,2578.42749023,2029
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,974.810302734,2030
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,1304.67749023,2031
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,3558.32592773,2032
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,1262.67749023,2036
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,4119.32592773,2037
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,1280.04467773,2039
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,3156.72436523,2040
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,475.794677734,2041
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,865.388427734,2045
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,99.1306152344,2048
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,2176.38842773,2049
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,1847.01342773,2052
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,5253.66186523,2053
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,4313.56811523,2055
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,3301.02905273,2056
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,4042.67749023,2057
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,3056.98999023,2061
GD4,CNRM-CERFACS-CNRM-CM5_RCA4,Normandie,rcp45,1,1804.52905273,2062
