Index,Model,Region,Scenario,Season,Sigma,Value,Year
GD4,OBS Safran,4,rcp85,DJF,1,2205.64550781,1975
GD4,OBS Safran,4,rcp85,DJF,1,258.370117188,1988
GD4,OBS Safran,4,rcp85,DJF,1,1145.25488281,1990
GD4,OBS Safran,4,rcp85,DJF,1,464.765625,1994
GD4,OBS Safran,4,rcp85,DJF,1,2472.33203125,1995
GD4,OBS Safran,4,rcp85,DJF,1,688.424804688,1998
GD4,OBS Safran,4,rcp85,DJF,1,1376.17675781,2001
GD4,OBS Safran,4,rcp85,DJF,1,3044.33886719,2007
GD4,OBS Safran,4,rcp85,DJF,2,410.874023438,2007
GD4,1,4,rcp85,DJF,1,777.118164062,1974
GD4,1,4,rcp85,DJF,1,2231.48535156,1981
GD4,1,4,rcp85,DJF,1,1775.5078125,1987
GD4,1,4,rcp85,DJF,1,345.276367188,1992
GD4,1,4,rcp85,DJF,1,551.309570312,2004
GD4,1,4,rcp85,DJF,1,1428.80761719,2012
GD4,1,4,rcp85,DJF,1,4587.87402344,2015
GD4,1,4,rcp85,DJF,1,247.110351562,2019
GD4,1,4,rcp85,DJF,1,1766.01953125,2026
GD4,1,4,rcp85,DJF,1,2944.09082031,2027
GD4,1,4,rcp85,DJF,1,1009.02929688,2029
GD4,1,4,rcp85,DJF,1,3552.33691406,2034
GD4,1,4,rcp85,DJF,1,1870.82128906,2040
GD4,1,4,rcp85,DJF,1,3136.36230469,2042
GD4,1,4,rcp85,DJF,1,979.9921875,2043
GD4,1,4,rcp85,DJF,1,1838.0,2044
GD4,1,4,rcp85,DJF,1,2596.97167969,2045
GD4,1,4,rcp85,DJF,1,3427.9765625,2055
GD4,1,4,rcp85,DJF,1,1902.36425781,2056
GD4,1,4,rcp85,DJF,1,4124.04003906,2057
GD4,1,4,rcp85,DJF,1,2186.22265625,2058
GD4,1,4,rcp85,DJF,1,1928.54980469,2059
GD4,1,4,rcp85,DJF,1,3156.41699219,2060
GD4,1,4,rcp85,DJF,1,6850.57519531,2061
GD4,1,4,rcp85,DJF,1,2615.71386719,2062
GD4,1,4,rcp85,DJF,1,3212.50390625,2063
GD4,1,4,rcp85,DJF,1,4856.80371094,2064
GD4,1,4,rcp85,DJF,1,547.340820312,2065
GD4,1,4,rcp85,DJF,1,7237.05175781,2069
GD4,1,4,rcp85,DJF,1,5797.67285156,2070
GD4,1,4,rcp85,DJF,1,1945.35351562,2071
GD4,1,4,rcp85,DJF,1,8004.64941406,2072
GD4,1,4,rcp85,DJF,1,4192.85839844,2073
GD4,1,4,rcp85,DJF,1,5760.12597656,2074
GD4,1,4,rcp85,DJF,1,4074.59277344,2075
GD4,1,4,rcp85,DJF,1,2819.02246094,2076
GD4,1,4,rcp85,DJF,1,4408.97363281,2077
GD4,1,4,rcp85,DJF,1,8106.34472656,2078
GD4,1,4,rcp85,DJF,1,70.814453125,2079
GD4,1,4,rcp85,DJF,1,6627.55175781,2080
GD4,1,4,rcp85,DJF,1,1691.52148438,2081
GD4,1,4,rcp85,DJF,1,3236.57910156,2082
GD4,1,4,rcp85,DJF,1,6603.46386719,2083
GD4,1,4,rcp85,DJF,1,2432.73730469,2084
GD4,1,4,rcp85,DJF,1,7015.80175781,2085
GD4,1,4,rcp85,DJF,1,9811.32714844,2086
GD4,1,4,rcp85,DJF,1,5516.37597656,2087
GD4,1,4,rcp85,DJF,1,5637.78222656,2088
GD4,1,4,rcp85,DJF,1,7950.57128906,2089
GD4,1,4,rcp85,DJF,1,1630.20898438,2090
GD4,1,4,rcp85,DJF,1,5463.99511719,2091
GD4,1,4,rcp85,DJF,1,3658.20507812,2092
GD4,1,4,rcp85,DJF,1,8934.11816406,2093
GD4,1,4,rcp85,DJF,1,7816.36816406,2094
GD4,1,4,rcp85,DJF,1,3236.41699219,2095
GD4,1,4,rcp85,DJF,1,4762.22558594,2096
GD4,1,4,rcp85,DJF,1,5189.90527344,2097
GD4,1,4,rcp85,DJF,1,6561.97949219,2098
GD4,1,4,rcp85,DJF,1,7235.45996094,2099
GD4,1,4,rcp85,DJF,1,6333.57714844,2100
GD4,1,4,rcp85,DJF,2,1954.40917969,2015
GD4,1,4,rcp85,DJF,2,310.625976562,2027
GD4,1,4,rcp85,DJF,2,918.872070312,2034
GD4,1,4,rcp85,DJF,2,502.897460938,2042
GD4,1,4,rcp85,DJF,2,794.51171875,2055
GD4,1,4,rcp85,DJF,2,1490.57519531,2057
GD4,1,4,rcp85,DJF,2,522.952148438,2060
GD4,1,4,rcp85,DJF,2,4217.11035156,2061
